,Latitude,Longitude,date,county,state,fips,cases,deaths,COUNTY_ID
100,30.057823969000026,-98.04160920399994,2020-06-11,Hays,Texas,48209,574,5,TX - HAYS
101,35.84000447900007,-100.26988754699994,2020-06-11,Hemphill,Texas,48211,1,0,TX - HEMPHILL
102,32.21720895900006,-95.85101344899994,2020-06-11,Henderson,Texas,48213,74,3,TX - HENDERSON
103,26.401803090000044,-98.19095629399999,2020-06-11,Hidalgo,Texas,48215,912,12,TX - HIDALGO
104,31.999209720000067,-97.13293995399994,2020-06-11,Hill,Texas,48217,33,1,TX - HILL
105,33.60984650600005,-102.33766248499995,2020-06-11,Hockley,Texas,48219,28,1,TX - HOCKLEY
106,32.43273513200006,-97.82925234699997,2020-06-11,Hood,Texas,48221,31,4,TX - HOOD
107,33.15292411000007,-95.56142754799998,2020-06-11,Hopkins,Texas,48223,41,0,TX - HOPKINS
108,31.323169246000077,-95.42253614799995,2020-06-11,Houston,Texas,48225,153,0,TX - HOUSTON
109,32.30627612200004,-101.43424401399994,2020-06-11,Howard,Texas,48227,18,1,TX - HOWARD
110,31.459132529000044,-105.39138253699997,2020-06-11,Hudspeth,Texas,48229,11,0,TX - HUDSPETH
111,33.12835788600006,-96.07982011599995,2020-06-11,Hunt,Texas,48231,147,5,TX - HUNT
112,35.84087688200003,-101.35464352499997,2020-06-11,Hutchinson,Texas,48233,44,0,TX - HUTCHINSON
113,31.30767437600008,-100.98134692799994,2020-06-11,Irion,Texas,48235,1,0,TX - IRION
114,33.23504325300007,-98.16962669599997,2020-06-11,Jack,Texas,48237,4,0,TX - JACK
115,28.949048219000076,-96.57676474499999,2020-06-11,Jackson,Texas,48239,20,1,TX - JACKSON
116,30.74766434000003,-94.02399663199998,2020-06-11,Jasper,Texas,48241,34,2,TX - JASPER
117,29.88333317400003,-94.17521695799996,2020-06-11,Jefferson,Texas,48245,1187,31,TX - JEFFERSON
118,27.04840341000005,-98.70738490199994,2020-06-11,Jim Hogg,Texas,48247,4,0,TX - JIM HOGG
119,27.731908736000037,-98.09613410999998,2020-06-11,Jim Wells,Texas,48249,15,0,TX - JIM WELLS
120,32.38477538800004,-97.36633053899999,2020-06-11,Johnson,Texas,48251,246,3,TX - JOHNSON
121,32.741340328000035,-99.88084116999994,2020-06-11,Jones,Texas,48253,633,0,TX - JONES
122,28.907199913000056,-97.86165997899997,2020-06-11,Karnes,Texas,48255,4,0,TX - KARNES
123,32.60566278500005,-96.28731762099994,2020-06-11,Kaufman,Texas,48257,316,3,TX - KAUFMAN
124,29.947013328000025,-98.71834990799994,2020-06-11,Kendall,Texas,48259,35,0,TX - KENDALL
125,30.103156395000042,-99.55170708999998,2020-06-11,Kerr,Texas,48265,20,1,TX - KERR
126,30.48753391300005,-99.74967502399994,2020-06-11,Kimble,Texas,48267,1,0,TX - KIMBLE
127,29.34873754800003,-100.41931319799994,2020-06-11,Kinney,Texas,48271,1,0,TX - KINNEY
128,27.431607322000048,-97.87990816099995,2020-06-11,Kleberg,Texas,48273,20,1,TX - KLEBERG
129,33.60506899000006,-99.73939391199997,2020-06-11,Knox,Texas,48275,1,0,TX - KNOX
130,28.343349112000055,-99.10201399999994,2020-06-11,La Salle,Texas,48283,4,0,TX - LA SALLE
131,33.67284335800008,-95.56465625799996,2020-06-11,Lamar,Texas,48277,160,11,TX - LAMAR
132,34.070154107000064,-102.34628434099994,2020-06-11,Lamb,Texas,48279,18,0,TX - LAMB
133,31.200173638000024,-98.24391801799999,2020-06-11,Lampasas,Texas,48281,9,0,TX - LAMPASAS
134,29.38652336800004,-96.93409679399997,2020-06-11,Lavaca,Texas,48285,21,1,TX - LAVACA
135,30.317448137000042,-96.96939135099996,2020-06-11,Lee,Texas,48287,32,2,TX - LEE
136,31.30247117500005,-95.99620359399995,2020-06-11,Leon,Texas,48289,11,0,TX - LEON
137,30.154829736000067,-94.81749325499999,2020-06-11,Liberty,Texas,48291,115,3,TX - LIBERTY
138,31.55446291100003,-96.58264129699995,2020-06-11,Limestone,Texas,48293,36,1,TX - LIMESTONE
139,36.275123525000026,-100.27197265399997,2020-06-11,Lipscomb,Texas,48295,7,0,TX - LIPSCOMB
140,28.350897675000056,-98.13011000099999,2020-06-11,Live Oak,Texas,48297,9,0,TX - LIVE OAK
141,30.709865980000075,-98.68109710499999,2020-06-11,Llano,Texas,48299,4,0,TX - LLANO
142,33.61265530000003,-101.82005794999998,2020-06-11,Lubbock,Texas,48303,790,50,TX - LUBBOCK
143,33.17285521500003,-101.81703629499998,2020-06-11,Lynn,Texas,48305,14,1,TX - LYNN
144,30.97246569400005,-95.92916742699998,2020-06-11,Madison,Texas,48313,19,0,TX - MADISON
145,32.799361205000025,-94.35686948799997,2020-06-11,Marion,Texas,48315,18,1,TX - MARION
146,32.30518003900005,-101.95093236199995,2020-06-11,Martin,Texas,48317,3,1,TX - MARTIN
147,30.722224874000062,-99.22347006099994,2020-06-11,Mason,Texas,48319,33,0,TX - MASON
148,28.870099561000075,-95.98569620899997,2020-06-11,Matagorda,Texas,48321,77,5,TX - MATAGORDA
149,28.74102167500007,-100.31579876799998,2020-06-11,Maverick,Texas,48323,149,2,TX - MAVERICK
150,31.200065962000053,-99.34671680899999,2020-06-11,McCulloch,Texas,48307,3,0,TX - MCCULLOCH
151,31.558091880000063,-97.20130404699995,2020-06-11,McLennan,Texas,48309,150,4,TX - MCLENNAN
152,29.357567822000078,-99.11263932299994,2020-06-11,Medina,Texas,48325,218,2,TX - MEDINA
153,31.869963706000078,-102.03171446799996,2020-06-11,Midland,Texas,48329,194,13,TX - MIDLAND
154,30.79784669000003,-96.97988970999995,2020-06-11,Milam,Texas,48331,38,1,TX - MILAM
155,31.49944534900004,-98.59233681699999,2020-06-11,Mills,Texas,48333,1,0,TX - MILLS
156,32.30628578300008,-100.92078603299996,2020-06-11,Mitchell,Texas,48335,2,0,TX - MITCHELL
157,33.67716600500006,-97.72120305999994,2020-06-11,Montague,Texas,48337,9,1,TX - MONTAGUE
158,30.304170173000045,-95.50302332099994,2020-06-11,Montgomery,Texas,48339,1197,32,TX - MONTGOMERY
159,35.84062189500003,-101.89293804799996,2020-06-11,Moore,Texas,48341,866,14,TX - MOORE
160,33.123407704000044,-94.73596750399997,2020-06-11,Morris,Texas,48343,28,0,TX - MORRIS
161,34.07734496000006,-100.78562365699997,2020-06-11,Motley,Texas,48345,1,0,TX - MOTLEY
162,31.620046846000037,-94.61748024899998,2020-06-11,Nacogdoches,Texas,48347,317,24,TX - NACOGDOCHES
163,32.05544075800003,-96.47205805699997,2020-06-11,Navarro,Texas,48349,74,3,TX - NAVARRO
164,30.787935683000057,-93.74330930299999,2020-06-11,Newton,Texas,48351,6,0,TX - NEWTON
165,32.30356319300006,-100.41030796699994,2020-06-11,Nolan,Texas,48353,3,0,TX - NOLAN
166,27.727487831000076,-97.65314673999995,2020-06-11,Nueces,Texas,48355,321,3,TX - NUECES
167,36.27321150800003,-100.81604093799996,2020-06-11,Ochiltree,Texas,48357,52,2,TX - OCHILTREE
168,35.40118901400007,-102.59066541699997,2020-06-11,Oldham,Texas,48359,4,1,TX - OLDHAM
169,30.127899486000047,-93.89669059499994,2020-06-11,Orange,Texas,48361,102,2,TX - ORANGE
170,32.75600736900003,-98.30789214099997,2020-06-11,Palo Pinto,Texas,48363,14,2,TX - PALO PINTO
171,32.16026257200008,-94.30019073799997,2020-06-11,Panola,Texas,48365,214,23,TX - PANOLA
172,32.77888287500008,-97.80009345899998,2020-06-11,Parker,Texas,48367,105,1,TX - PARKER
173,34.528502213000024,-102.77243601699996,2020-06-11,Parmer,Texas,48369,100,0,TX - PARMER
